name,playerid,nationality,dob,batstyle,bowlstyle,cricinfo_id
Lawrence Sematimba,10500180,Uganda,1982-06-08,Right-hand bat,Right-arm offbreak,26127
John Gabula,10500157,Uganda,2001-12-29,,,928105
Collines Okwalinga,10500161,Uganda,2000-07-07,,Right-arm medium-fast,928121
Geoffrey Nyero,10500171,Uganda,1991-10-04,Right-hand bat,Right-arm fast-medium,420489
John Tumusiime,10500177,Uganda,1992-04-02,Right-hand bat,Right-arm slow-medium,473390
Damalie Busingye,10500162,Uganda,1997-04-11,Right-hand bat,Right-arm medium,1179935
Pascal Muringi,10500183,Uganda,2004-06-03,Right-hand bat,Right-arm medium,1178058
Frank Nsubuga,10500170,Uganda,1980-08-28,Right-hand bat,Right-arm offbreak,26139
Sheriyar Sohail,7505757,Pakistan,1994-05-31,Left-hand bat,Slow left-arm orthodox,86602
Waqas Ahmed,101554,Afghanistan,1992-11-17,Right-hand bat,Right-arm fast,93634
Ali Zain,7505758,Pakistan,1983-06-20,Right-hand bat,Right-arm offbreak,81000
Mukta Magre,4512068,India,1995-07-06,Right-hand bat,Right-arm medium-fast,96026
Asad Abbas,7505732,Pakistan,1980-01-08,Right-hand bat,Right-arm medium,1294511
Roger Mukasa,10500191,Uganda,1989-05-22,Right-hand bat,Right-arm medium,233528
Jehu Anderson,4512035,India,1999-11-12,Right-hand bat,,95724
Saeed Ullah,7505756,Pakistan,1985-01-01,Right-hand bat,Left-arm medium,86607
Muhammad Moiz,7505759,Pakistan,1988-04-30,Right-hand bat,Right-arm fast,81004
Hamu Kayondo,10500172,Uganda,1990-03-09,Right-hand bat,Right-arm offbreak,821647
Tehzeeb Ul Hassan,8200040,Romania,2001-02-05,Right-hand bat,Right-arm fast,93640
Atif Naqvi,8200037,Romania,1982-11-05,Left-hand bat,Right-arm medium,86667
Khyal Maan,10603810,United Arab Emirates,1998-09-11,Right-hand bat,,96031
Abdul Qabiz,10603811,United Arab Emirates,1998-02-01,Right-hand bat,,96032
Saqib Rehman,10603813,United Arab Emirates,1997-03-02,Right-hand bat,,96034
Akhoonzada Nouman,10603814,United Arab Emirates,2002-06-20,Right-hand bat,,96035
Moiz Dehliwala,10603817,United Arab Emirates,1985-04-13,Right-hand bat,,96039
Muhibullah Khan,10603818,United Arab Emirates,1990-04-20,Right-hand bat,,96040
Sheryar Ijaz,10603820,United Arab Emirates,2001-09-01,Right-hand bat,,96042
Usama Zaman,10603822,United Arab Emirates,2000-07-15,Right-hand bat,,96044
Saqib Khan,10603821,United Arab Emirates,1992-03-05,Right-hand bat,,96043
Krishna Kumar,4512124,India,1994-02-03,Right-hand bat,Right-arm medium,1268709
Anand Kumar,10602549,United Arab Emirates,2000-09-05,Right-hand bat,,1179861
Aftab Hussain,10602507,United Arab Emirates,1991-04-03,,,1106380
Ali Asad,10602532,United Arab Emirates,1976-12-06,Right-hand bat,Right-arm fast-medium,39881
Andri Berenger,10602550,United Arab Emirates,1991-08-29,Right-hand bat,,384817
Ali Naseer,10602534,United Arab Emirates,2004-03-09,Left-hand bat,Right-arm medium,1212829
Ali Raza,10602535,United Arab Emirates,2002-01-10,Right-hand bat,Right-arm fast,678349
Dhwaj Raichura,4512183,India,1993-10-21,Right-hand bat,,1268770
Ashok,10602586,United Arab Emirates,1985-08-07,,,1106333
Atharva Kavi,10602606,United Arab Emirates,1997-10-19,Left-hand bat,,913825
Aqueel Sabir,10602565,United Arab Emirates,1976-03-02,,,1106412
Asif Iqbal,10602597,United Arab Emirates,1984-01-12,Right-hand bat,,39898
Asim Saeed,10602603,United Arab Emirates,1979-10-05,Right-hand bat,Left-arm medium,25556
Aqdas Azam,10602562,United Arab Emirates,1997-09-26,,,1106419
Atif Ali Khan,10602609,United Arab Emirates,1986-02-11,Left-hand bat,Left-arm medium,1061752
Bakthiyar Palekar,10602631,United Arab Emirates,1980-05-04,Left-hand bat,,342179
Azhar Gul,10602625,United Arab Emirates,1976-12-12,Right-hand bat,Right-arm offbreak,39298
Divyendu Shekhar,10602677,United Arab Emirates,1997-01-15,Right-hand bat,,796299
Iqra Sahar,4200407,Hong Kong,2002-05-31,Right-hand bat,Right-arm medium,1236147
Shiv Gowda,4512288,India,1983-12-20,Right-hand bat,Right-arm medium,93837
Umair Chaudary,9900121,Sweden,1986-02-09,Right-hand bat,Right-arm offbreak,79038
Imran Shaik,10602763,United Arab Emirates,1991-12-07,Right-hand bat,Right-arm medium-fast,1113686
Jagdeesh,10602773,United Arab Emirates,1985-11-26,,,1106409
Jasim Suwaidi,10602780,United Arab Emirates,1980-05-06,Right-hand bat,Right-arm offbreak,343817
Maius Stanislaus,11202191,West Indies,2003-09-03,Right-hand bat,Right-arm medium,72658916
Joshuan Mann,11202215,West Indies,1997-01-10,Left-hand bat,,148956
Lalit,10602840,United Arab Emirates,1975-12-14,,,1106326
Karthik Shekar,10602818,United Arab Emirates,1997-06-08,Left-hand bat,,796301
Junaid Shamsi,10602801,United Arab Emirates,1984-07-13,,,1113817
Johann Williams,11202235,West Indies,1990-04-20,Right-hand bat,Right-arm medium-fast,148968
Kaylan Neptune,11202236,West Indies,2007-12-11,Right-hand bat,Right-arm medium,72658947
Kerlan Martial,11202237,West Indies,1994-04-17,Right-hand bat,,72658948
Neil Moncherry,11202238,West Indies,1993-03-01,Right-hand bat,Right-arm medium,72658949
Mohammad Usman,10602898,United Arab Emirates,1993-08-29,Left-hand bat,,927445
Miraj Khaliq,10602879,United Arab Emirates,1981-01-01,Left-hand bat,Right-arm medium,25553
Mohammad Hamid,10602888,United Arab Emirates,1993-11-04,Right-hand bat,Right-arm offbreak,633515
Mohammad Shahzad,10602894,United Arab Emirates,1979-08-15,Right-hand bat,Right-arm medium-fast,738445
Mavuru Aditya,10602873,United Arab Emirates,1995-11-25,Right-hand bat,Right-arm offbreak,697819
Mohammad Naveed,10602889,United Arab Emirates,1992-12-27,Right-hand bat,,927439
Malitha Anantham Pillai,10602859,United Arab Emirates,1994-05-19,,,301614
Moaaz Qazi,10602882,United Arab Emirates,1995-10-15,Right-hand bat,Right-arm offbreak,342497
Mehroz Khan,10602875,United Arab Emirates,1988-09-17,Left-hand bat,Slow left-arm orthodox,672165
Manvi Dhodhi,10602867,United Arab Emirates,1983-11-01,,,301618
Mohammed Zubair,10602905,United Arab Emirates,1990-07-20,,,1106338
Naeemuddin Aslam,10602952,United Arab Emirates,1982-05-31,Right-hand bat,,25604
Mohd Bazil,10602908,United Arab Emirates,1989-02-28,,,1106410
Najumudeen,10602954,United Arab Emirates,1977-02-08,,,1106376
Muhammad Anas,10602926,United Arab Emirates,1987-05-29,,,1106346
Muhammad Yasin,10602936,United Arab Emirates,1978-01-05,Right-hand bat,Right-arm medium,1106453
Valange St. Ange,11202326,West Indies,1996-02-14,Left-hand bat,Slow left-arm orthodox,148990
Alvinaus Simon,11202329,West Indies,1992-11-10,Left-hand bat,Right-arm offbreak,148993
Petule Nadar,10602989,United Arab Emirates,1994-10-30,,,302369
Petule Nadar,10602990,United Arab Emirates,1994-10-30,,,302370
Nizel Fernandes,10602974,United Arab Emirates,1977-01-03,Left-hand bat,Slow left-arm orthodox,334946
Nilesh,10602965,United Arab Emirates,1970-06-09,,,1106382
Rashid Khan,10603021,United Arab Emirates,1981-03-20,Right-hand bat,,25620
Rahul,10603008,United Arab Emirates,1997-07-30,Right-hand bat,Right-arm fast,1114230
Vince Smith,11202327,West Indies,1995-07-19,Left-hand bat,Right-arm offbreak,148991
Reynold Daniel,10603037,United Arab Emirates,1989-07-21,Right-hand bat,Right-arm medium,1115458
JS Anuraj,4512204,India,2002-12-15,Right-hand bat,Right-arm medium,1268791
Talmeez Sheikh,9900214,Sweden,1969-01-15,Right-hand bat,Right-arm medium,93922
Aamer Riaz,9900215,Sweden,1983-01-17,Right-hand bat,Right-arm medium,86753
Abdul Rehman,9900216,Sweden,1996-10-09,Right-hand bat,Right-arm medium,86782
Ahmed Zulfiqar,7505776,Pakistan,1976-01-22,Right-hand bat,Right-arm offbreak,86774
Amir Khan,9900217,Sweden,1985-12-11,Right-hand bat,Right-arm offbreak,94140
Aqdas Bhatti,7505777,Pakistan,1995-08-14,Right-hand bat,Right-arm offbreak,94143
Asad Iqbal,9900218,Sweden,1983-12-08,Right-hand bat,Right-arm slow,86741
Asif Khan,7505778,Pakistan,1976-07-05,Right-hand bat,Right-arm fast,86766
Faisal Mushtaq,7505779,Pakistan,1998-07-19,Right-hand bat,Right-arm medium,86768
Gurpal Randhawa,9900219,Sweden,1986-10-18,Right-hand bat,Right-arm offbreak,86751
Hayat Eatsham,7505780,Pakistan,1984-03-26,Right-hand bat,Right-arm offbreak,94145
Imran Merchant,9900220,Sweden,1984-05-16,Right-hand bat,Right-arm offbreak,94146
Imran Muhammad,9900221,Sweden,1979-03-15,Right-hand bat,Right-arm medium,94147
Maqsood Khawaja,10000020,Switzerland,1973-06-06,Right-hand bat,Right-arm offbreak,94152
Muhammad Imran Chaudhry,7505782,Pakistan,1986-06-11,Right-hand bat,Right-arm medium,94156
Nadeem Ali,7505783,Pakistan,1978-12-04,Right-hand bat,Right-arm offbreak,86757
Osama Qureshi,9900222,Sweden,1993-05-05,Right-hand bat,Right-arm medium,86745
Qasib Rashid,9900223,Sweden,1985-05-07,Right-hand bat,Right-arm medium,86759
Shani Khawaja,9900224,Sweden,1984-06-06,Right-hand bat,Right-arm slow,86762
Sufyan Gohar,7505784,Pakistan,2005-09-28,Right-hand bat,Right-arm offbreak,94160
Tahir Tarar,7505785,Pakistan,1993-02-17,Right-hand bat,Right-arm fast,79816
Wasif Muhammad,7505786,Pakistan,1981-03-02,Right-hand bat,Right-arm medium,86744
Zeeshan Mahmood,7505787,Pakistan,1992-10-17,Right-hand bat,Right-arm medium,86748
Hassan Mahmood,9900225,Sweden,1993-12-13,Right-hand bat,Right-arm medium,78771
Salah Shakeel,10603077,United Arab Emirates,1998-10-06,Right-hand bat,Right-arm offbreak,1058980
Rishabh Mukherjee,10603042,United Arab Emirates,2001-05-19,Right-hand bat,Right-arm offbreak,1179858
Sachin Jha,10603059,United Arab Emirates,1998-12-23,Right-hand bat,,913833
Saif Noor,10603070,United Arab Emirates,1990-07-22,Right-hand bat,Left-arm fast-medium,1178588
Sachin,10603058,United Arab Emirates,1990-11-16,Right-hand bat,Right-arm fast,1114257
Riyan Mohammed,10603043,United Arab Emirates,1998-06-18,Right-hand bat,,796327
Sachin Sharma,9900250,Sweden,1984-01-24,Right-hand bat,Right-arm medium,76852
Sanjay Kumar Saren,9900251,Sweden,1973-03-26,Right-hand bat,Right-arm medium,76844
Yogesh Rajashekar,9900252,Sweden,1974-05-09,Right-hand bat,Right-arm medium,76864
Adnan Khan,9900253,Sweden,1982-01-17,Right-hand bat,Right-arm medium,93829
Daud Khan,9900254,Sweden,1980-08-30,Right-hand bat,Right-arm fast-medium,93858
Arun Pandey,9900255,Sweden,1981-12-13,Right-hand bat,Right-arm offbreak,96052
Ankur Kakroo,9900279,Sweden,1988-09-16,Right-hand bat,Right-arm offbreak,149038
Shahrukh Ahmed,10603132,United Arab Emirates,1994-07-31,Right-hand bat,Legbreak,697835
Shafeeq Pallath,10603120,United Arab Emirates,1988-08-05,,,1106370
Waseem Ahmed,9900256,Sweden,1989-10-26,Right-hand bat,Right-arm medium,94377
Tejas Panchal,9900257,Sweden,1983-08-15,Right-hand bat,Right-arm offbreak,96069
Vikrant Goel,9900258,Sweden,1982-01-24,Right-hand bat,Right-arm medium,96070
Ajmal Raza,9900259,Sweden,1984-04-01,Left-hand bat,Left-arm medium,96076
Amjad Khaja,9900260,Sweden,1984-08-31,Right-hand bat,Right-arm medium,96077
Arslan Atta,7505793,Pakistan,2003-06-01,Right-hand bat,Right-arm fast,96078
Asif Loan,9900261,Sweden,1988-03-04,Right-hand bat,Right-arm medium,96079
Haji Aweem,7505794,Pakistan,1986-03-27,Right-hand bat,Right-arm offbreak,96081
Hamid Sulehri,7505795,Pakistan,1982-12-04,Right-hand bat,Left-arm slow,96082
Islam Ali,9900263,Sweden,1984-08-08,Right-hand bat,Right-arm medium,96083
Kamran Ali,9900264,Sweden,1987-08-01,Right-hand bat,Right-arm medium,96084
Qambber Syed,9900265,Sweden,1982-06-08,Left-hand bat,Left-arm medium,96085
Sohail Khan,9900267,Sweden,1971-08-21,Right-hand bat,Right-arm slow,96087
Zahid Naqwi,9900268,Sweden,1984-06-29,Right-hand bat,Right-arm slow,96088
Zulifqar Ali,9900269,Sweden,1976-12-01,Left-hand bat,Right-arm slow,96089
Adam Ahmadzay,101563,Afghanistan,2000-12-30,Right-hand bat,Right-arm offbreak,79928
Amir Husseini,101564,Afghanistan,1998-04-11,Right-hand bat,Right-arm medium,149018
Pardeep Singh,9900277,Sweden,1984-03-01,Right-hand bat,Right-arm medium,149032
Sayyid Hussain,7505801,Pakistan,1985-06-24,Right-hand bat,Right-arm medium,149033
Sheik Alam,801793,Bangladesh,1988-01-03,Right-hand bat,Right-arm offbreak,149034
Sohail Adnan,7505802,Pakistan,1992-02-20,Right-hand bat,Right-arm medium,149035
Tahir Mujtaba,7505803,Pakistan,1982-04-22,Right-hand bat,Legbreak,149036
Fahad Waqas,9900262,Sweden,1983-06-15,Right-hand bat,Right-arm offbreak,96080
Aftab Ahmad,9900283,Sweden,1984-11-22,Right-hand bat,Right-arm medium-fast,78713
Anas Tanveer,9900285,Sweden,2002-05-25,Right-hand bat,Right-arm medium,78747
Assadullah Javed,9900287,Sweden,2001-07-20,Right-hand bat,Right-arm medium-fast,78741
Haseeb Shah,7505804,Pakistan,1984-02-12,Right-hand bat,Right-arm fast,94211
Haseeb Shah,7505805,Pakistan,1984-02-12,Right-hand bat,Right-arm fast,94212
Asmina Karmacharya,6800537,Nepal,2000-04-28,Right-hand bat,Right-arm medium,885525
Syed Faizan,7505808,Pakistan,2003-01-12,Left-hand bat,Right-arm offbreak,94214
Usama Ahmad,9900298,Sweden,1992-12-28,Left-hand bat,Left-arm slow,94216
Zohaib Hassan,7505809,Pakistan,1997-04-14,Right-hand bat,Right-arm offbreak,94218
Asif Ferdoush,801795,Bangladesh,1990-10-05,Right-hand bat,Right-arm medium,149059
Deba Sen,801796,Bangladesh,1986-12-25,Right-hand bat,Right-arm medium,149060
Rita Nyagendo,10500217,Uganda,1992-04-23,Right-hand bat,,885532
Ahmed Mehmood,7505810,Pakistan,1985-07-03,Right-hand bat,Right-arm slow,93832
Sukhwinder,10603182,United Arab Emirates,1981-09-30,,,1106331
Sultan Ahmed,10603185,United Arab Emirates,1989-10-11,Left-hand bat,Slow left-arm orthodox,873769
Phiona Egaru Kulume,10500214,Uganda,2004-12-28,Right-hand bat,Right-arm medium,885529
Sarah Akiteng,10500215,Uganda,2002-08-16,Right-hand bat,Right-arm slow,885530
Shameer,10603141,United Arab Emirates,1994-01-18,,,1106381
Sumesh,10603188,United Arab Emirates,1994-01-25,,,1106317
Simon Charles,10603165,United Arab Emirates,1997-07-08,,,633498
Suleman Muhammad,10603184,United Arab Emirates,2002-02-13,,,1116352
Arslan Ali,9900286,Sweden,1995-07-23,Left-hand bat,Right-arm offbreak,78703
Sahar Shirzad,9900106,Sweden,1999-03-21,Right-hand bat,Right-arm fast,1268900
Athuljith Anu,11206388,India,1994-05-12,,,63454
Mansoor K L,11206568,India,1995-08-14,,,61732
Abigail Glen,3009243,England,2021-04-02,Right-hand bat,Right-arm medium,94577
Ali Raza,9900308,Sweden,1992-10-13,,,97778
Irfan Sharif,9900309,Sweden,1986-01-01,,,97779
Joanna Loughran,4900514,Ireland,2004-08-25,Right-hand bat,,96662
Niamh MacNulty,4900525,Ireland,2006-11-06,Right-hand bat,Right-arm medium,96667
Pratik Sankhe,9900281,Sweden,1987-08-26,Right-hand bat,Right-arm offbreak,149049
Usman Saleem,10603240,United Arab Emirates,1983-02-14,Right-hand bat,Right-arm medium-fast,25619
Syed Maqsood,10603204,United Arab Emirates,1975-03-11,Right-hand bat,Right-arm medium,25606
Thulasi,10603228,United Arab Emirates,1994-06-21,,,1106407
Javid Dawoodzai,9900310,Sweden,2001-05-18,,,86830
Amandeep Singh,9900312,Sweden,1987-12-29,Right-hand bat,Right-arm medium,37656
Muhammad Moeez,9900313,Sweden,1995-11-13,Right-hand bat,Right-arm fast,79063
Anahita Arora,10700362,United States of America,1985-10-18,Right-hand bat,Right-arm medium,538600
Arjun Thyagarajan,10700365,United States of America,1982-12-11,Left-hand bat,Right-arm offbreak,772391
Yodhin Punja,10603283,United Arab Emirates,1999-04-24,Right-hand bat,Right-arm medium,796331
Adrian Gordon,10700356,United States of America,1987-06-28,Right-hand bat,Right-arm fast-medium,460181
Abhijit Joshi,10700354,United States of America,1992-10-10,Right-hand bat,Right-arm offbreak,348131
Aditya Thyagarajan,10700355,United States of America,1978-11-07,Right-hand bat,Legbreak,352313
Akshatha Rao,10700358,United States of America,1983-12-22,Right-hand bat,Right-arm offbreak,538598
Alexandrino Kirton,10700359,United States of America,1988-05-31,Left-hand bat,Slow left-arm orthodox,233241
Zahid Shah,10603289,United Arab Emirates,1980-06-08,Right-hand bat,Right-arm fast-medium,43735
Jyotsna Dixit,10700402,United States of America,1991-04-16,Right-hand bat,Right-arm medium,1057359
JC Miller,10700396,United States of America,1959-07-12,,,331722
Chelsea Douglas,10700369,United States of America,1979-07-19,Left-hand bat,,1057349
Hammad Shahid,10700382,United States of America,1991-12-07,Right-hand bat,Right-arm fast-medium,420503
Imran Awan,10700391,United States of America,1979-06-02,Right-hand bat,Right-arm fast-medium,25878
Arjun Patel,10700364,United States of America,1999-02-04,Right-hand bat,,928143
Luc Benkenstein,3009226,England,2004-11-02,Right-hand bat,Legbreak googly,1262575
Neha Anand,10700414,United States of America,1987-03-30,Right-hand bat,Right-arm medium,1116175
Kuldeep Patel,10700406,United States of America,1970-02-16,Right-hand bat,Right-arm medium,772073
Keon Lake,10700404,United States of America,1989-11-11,Right-hand bat,Right-arm offbreak,1041685
Dunae Nathaniel,10700374,United States of America,1987-02-21,Right-hand bat,Right-arm fast,233248
Naren Puppala,10700411,United States of America,1984-12-22,Right-hand bat,Slow left-arm orthodox,772465
Jai Dagar,11206445,India,2003-01-04,Right-hand bat,,98085
Nirav Pankaj Patel,10700415,United States of America,1990-01-21,Right-hand bat,Right-arm offbreak,772075
Greg Sewdial,10700380,United States of America,1991-09-06,Right-hand bat,Right-arm offbreak,378654
Majid Rizvi,10700407,United States of America,1983-01-10,Right-hand bat,Right-arm medium,772493
Joshua Butler,4100137,Guernsey,1995-08-08,,,44308
Aweem Ullah,9900317,Sweden,1986-03-27,,,67132
Vijay K,11500041,India,2003-12-08,Right-hand bat,Legbreak,94647
Muhammed Salmanul Faris,11206466,India,1996-10-18,Right-hand bat,,87005
Pradeep Rajan L,11500042,India,2002-02-07,Right-hand bat,,191373456
Bogapurapu Swaroop,11206965,India,2003-08-15,Right-hand bat,Right-arm medium,94706
Abdul Hakeem,101569,Afghanistan,1994-04-15,Right-hand bat,Right-arm slow,78773
Abdullah Almamun,9900320,Sweden,1993-01-01,Right-hand bat,Right-arm medium,94761
Matt Stokes,4100136,Guernsey,1995-10-07,Right-hand bat,Right-arm medium,19909
Najam Iqbal,10700410,United States of America,1988-08-10,Left-hand bat,Right-arm offbreak,770327
Ben Johnson,4100138,Guernsey,2004-01-17,Right-hand bat,Left-arm medium-fast,13731
Charlie Brennan,5400132,Jersey,2005-09-23,Right-hand bat,Right-arm medium-fast,1278236
Dan Ibrahim,3009255,England,2004-08-09,Right-hand bat,Right-arm medium,1260070
Dennis Evans,10700371,United States of America,1982-01-28,Right-hand bat,Right-arm offbreak,378283
Kamran Syed,10700403,United States of America,1978-01-18,Right-hand bat,Left-arm medium,770321
Fahad Babar,10700377,United States of America,1992-02-19,Right-hand bat,Right-arm offbreak,499607
Arif Javed,7505817,Pakistan,1965-03-23,Right-hand bat,Right-arm offbreak,77373
Muhammad Nabeel,7505819,Pakistan,1994-04-11,Right-hand bat,Right-arm medium-fast,77361
Muhammad Usman,7505820,Pakistan,1997-01-31,Right-hand bat,,69425
Muhammad Zubair,7505821,Pakistan,1992-06-06,Right-hand bat,,77362
Shohas Farhad,801809,Bangladesh,1990-01-20,Right-hand bat,Right-arm medium,77353
Waheed Rehman,7505823,Pakistan,1987-11-06,Right-hand bat,Right-arm medium,77369
Anirudh Maiya,9900321,Sweden,1992-09-15,Right-hand bat,Right-arm slow,94762
Ali Orr,3009278,England,2001-04-06,Left-hand bat,Right-arm medium-fast,1260069
Sameer Maduranga,9505780,Sri Lanka,1986-03-09,Right-hand bat,Right-arm medium,73089
Harish Easwaraiah,10700385,United States of America,1999-05-19,Left-hand bat,Right-arm offbreak,1111462
Durga Das,10700375,United States of America,1969-09-17,Right-hand bat,,465602
Tariq Shah,11507094,United Arab Emirates,1978-09-08,,,3366570
Ansar Nazir,2600042,Czech Republic,1986-08-16,Right-hand bat,Right-arm medium,78514
Alex Sirisena,2600043,Czech Republic,1977-01-09,Right-hand bat,Right-arm slow,77795
Arshad Ali,7505826,Pakistan,1984-12-04,Right-hand bat,Right-arm medium,85489
Javein Thomas,10700395,United States of America,1989-03-21,Right-hand bat,Right-arm offbreak,772399
Arshad Hayat,2600044,Czech Republic,1982-04-15,Right-hand bat,Right-arm medium,77835
Ali Osama,11506805,Spain,1997-03-19,Right-hand bat,Right-arm fast,129374275
Indomatie Goordial,10700392,Canada,1985-08-09,Right-hand bat,Right-arm offbreak,55183
Surya Rengarajan,2600041,Czech Republic,1993-09-03,Right-hand bat,Right-arm offbreak,78358
Majjid Zubair,10700408,United States of America,2000-09-13,Right-hand bat,Legbreak googly,1193306
Viraj Patel,10700454,United States of America,1993-06-19,Right-hand bat,Right-arm offbreak,772429
Frederick Heydenrych,9207137,South Africa,1984-02-18,Right-hand bat,Right-arm medium,77806
Dan Casey,3009230,England,1982-03-29,Right-hand bat,Right-arm medium,85509
Patrick Palmer,10700416,United States of America,1994-07-25,Right-hand bat,Right-arm offbreak,649001
Saqib Saleem,10700437,United States of America,1990-01-01,Right-hand bat,Legbreak googly,423661
Shahid Munir,10700441,United States of America,1976-05-05,Right-hand bat,Right-arm fast-medium,379700
Salman Ahmad,10700433,United States of America,1992-05-10,Right-hand bat,Right-arm fast-medium,25659
Steve Pitter,10700446,United States of America,1976-08-02,Right-hand bat,Right-arm medium-fast,257496
Roy Silva,10700429,United States of America,1980-05-09,Right-hand bat,Right-arm medium-fast,50671
Seshasai Ventrapragada,10700439,United States of America,1988-01-31,Right-hand bat,Right-arm medium,772443
PJ Goedhals,10700417,United States of America,1988-05-04,,,1061739
Twain Walter,10700450,United States of America,1986-09-01,Right-hand bat,Slow left-arm orthodox,772385
Robert Cresser,10700424,United States of America,1972-02-24,Right-hand bat,Right-arm medium-fast,378278
Shashank Vittaladevaram,10700442,United States of America,2001-04-02,Right-hand bat,Legbreak googly,1193314
Swati Mishra,10700448,United States of America,1986-05-06,Right-hand bat,Right-arm medium,1057361
Romeno Deane,10700427,United States of America,1988-12-10,Left-hand bat,Right-arm medium-fast,233259
Steve Massiah,10700445,United States of America,1979-06-21,Right-hand bat,Right-arm offbreak,25883
Vishal Shah,10700455,United States of America,1989-04-10,Right-hand bat,Legbreak googly,772393
Sam Das,10700434,United States of America,1999-11-10,Right-hand bat,Left-arm medium,1111455
Waseem Ahmed,10700458,United States of America,1988-04-10,Right-hand bat,Right-arm medium,772441
Sumon Bari,10700447,United States of America,1986-08-08,Right-hand bat,Right-arm offbreak,233260
Waleed Karimullah,10700457,United States of America,1993-06-08,Right-hand bat,Right-arm medium,499612
Simba Machemedze,11400997,Zimbabwe,1989-04-28,Right-hand bat,Right-arm medium,94245
Vojta Hasa,2600046,Czech Republic,1993-08-14,Right-hand bat,,81505
Somesekhar Banerjee,2600049,Czech Republic,1983-01-02,Right-hand bat,,80111
Vikram Padigala,2600050,Czech Republic,1985-09-25,Right-hand bat,,80112
Sureshkumar Nagaraj,2600052,Czech Republic,1983-02-22,Right-hand bat,,80114
Muhammad Ansar,2600053,Czech Republic,1986-08-16,Right-hand bat,,80115
Vishnu Revi,2600054,Czech Republic,1991-03-23,Right-hand bat,,80116
Sitaram Prabhukot,2600055,Czech Republic,1991-04-16,Right-hand bat,,80117
Raghvendra Singh,2600060,Czech Republic,1975-12-09,Right-hand bat,Left-arm medium,80122
Naved Ahmed,2600061,Czech Republic,1985-03-06,Right-hand bat,Right-arm offbreak,80123
Shaun Dalton,9207138,South Africa,1992-02-14,Right-hand bat,Right-arm offbreak,73080
Ashley McGlynn,403534,Australia,1978-02-14,Right-hand bat,Right-arm medium,85495
Dylan Steyn,2600051,Czech Republic,1995-08-03,Left-hand bat,Right-arm slow,80113
Joe Cope,3009235,England,1989-12-18,Right-hand bat,Left-arm fast,94247
Ashish Matta,2600048,Czech Republic,1991-07-28,Right-hand bat,Right-arm medium,77801
Paaras Khari,2600057,Czech Republic,1997-11-05,Right-hand bat,,80119
Tom Mayes,9207136,South Africa,2001-01-04,Right-hand bat,Right-arm medium-fast,1253296
Sandeep Tiwari,2600062,Czech Republic,1984-10-05,Right-hand bat,Right-arm medium,80124
Tripurari Kanhya Lal,2600066,Czech Republic,1984-04-01,Right-hand bat,Right-arm offbreak,80128
Arun Kumar Vasudevan,2600068,Czech Republic,1993-04-24,Right-hand bat,Right-arm fast,80130
G M Hasanat,2600073,Czech Republic,1994-11-24,Right-hand bat,,80135
G M Hasanat,2600074,Czech Republic,1997-01-14,Right-hand bat,,80136
Nems Magazine,11400998,Zimbabwe,1992-03-21,Right-hand bat,Right-arm slow,12122412
Sadoon Farrukh,7505827,Pakistan,1995-05-19,Right-hand bat,Right-arm medium,12122417
Saleem Khan,7505828,Pakistan,1982-04-12,Right-hand bat,Left-arm medium,12122419
Md Sahadat Hossain Sagor,2600075,Czech Republic,1997-01-14,Right-hand bat,,80137
Emon Md Mohiuddin,2600076,Czech Republic,1996-06-08,Right-hand bat,,80138
Umer Syed,10700451,United States of America,1985-02-19,Right-hand bat,Right-arm offbreak,772479
Simon Laveau,10700443,United States of America,1981-08-30,Right-hand bat,Right-arm medium,772377
Trevis Ross,10700449,United States of America,1995-04-11,Left-hand bat,Right-arm offbreak,649003
Shahid Elani,10700440,United States of America,1981-11-16,Right-hand bat,Right-arm medium,25652
Vijay Kolli,10700453,United States of America,1979-06-23,Right-hand bat,Right-arm medium,772445
Srihari Dasarathy,10700444,United States of America,1996-12-28,Left-hand bat,Legbreak,928155
Raj Vyas,10700421,United States of America,2002-03-31,Right-hand bat,Left-arm medium,1193316
Samikshya Aryal,10700435,United States of America,1989-05-10,Right-hand bat,Right-arm medium,1057358
Ali Kashif,2600067,Czech Republic,1992-01-11,Right-hand bat,Right-arm offbreak,80129
Rashard Marshall,10700422,United States of America,1982-08-30,Right-hand bat,Right-arm medium,352311
Andrew Sim,7101569,New Zealand,1982-12-28,Right-hand bat,Right-arm fast-medium,78378
Saurabh Verma,10700438,United States of America,1981-11-04,Right-hand bat,Legbreak googly,444297
Robiul Islam,2600084,Czech Republic,1994-10-03,Right-hand bat,Right-arm medium,80146
Md Alamin,2600079,Czech Republic,1997-10-10,Right-hand bat,,80141
Riaz Afridi,2600063,Czech Republic,1992-06-04,Right-hand bat,Right-arm fast,80125
Amin Hossain,2600077,Czech Republic,1995-05-02,Right-hand bat,Right-arm fast,80139
Sagar Patel,10700432,United States of America,1997-04-28,Right-hand bat,,928149
Junior Kaltapau,10800090,Vanuatu,1999-09-08,Right-hand bat,Right-arm offbreak,1115057
Neeraj Tyagi,2600103,Czech Republic,1986-09-25,Right-hand bat,Right-arm medium,77789
John Tangaroa,10800089,Vanuatu,2002-10-16,,Right-arm fast,1186251
Zeenat Kauser,10700464,United States of America,1984-12-20,Right-hand bat,Right-arm medium,940179
